"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","congruency","coordinates","correct","correct_keyboard_response","correct_response","count_Instructions","count_block_loop","count_block_sequence","count_end_experiment","count_end_practice","count_experiment","count_experiment_loop","count_feedback","count_fixation_dot","count_gaze_cue","count_getting_started","count_incorrect_sound","count_keyboard_response","count_logger","count_neutral_gaze","count_practice_loop","count_reset_feedback","count_target","count_trial_sequence","count_welcome","datetime","description","disable_garbage_collection","distractor_pos","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","gaze_cue","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_feedback","response_keyboard_response","response_time","response_time_feedback","response_time_keyboard_response","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_letter","target_pos","time_Instructions","time_block_loop","time_block_sequence","time_end_experiment","time_end_practice","time_experiment","time_experiment_loop","time_feedback","time_fixation_dot","time_gaze_cue","time_getting_started","time_incorrect_sound","time_keyboard_response","time_logger","time_neutral_gaze","time_practice_loop","time_reset_feedback","time_target","time_trial_sequence","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","white","xpyriment","legacy","legacy","0","congruent","uniform","0","0","z","0","0","0","0","0","0","0","NA","0","0","NA","0","0","0","0","0","0","0","0","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","0","0","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","None","2000","NA","2000","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","-300","1940","5822","5822","NA","NA","1939","NA","NA","6836","8339","NA","10840","8840","11892","7587","5817","NA","8840","6830","NA","Tutorial: Gaze cue","0","2000","1","yes","1024"
"0","0","1558","1558","white","xpyriment","legacy","legacy","0","incongruent","uniform","0","0","z","0","0","0","0","0","0","0","NA","1","1","NA","1","1","1","1","0","0","1","1","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","1","1","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","1116","NA","1116","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","-300","1940","5822","5822","NA","NA","1939","NA","NA","12929","14433","NA","16054","14934","17119","13681","5817","NA","14934","12922","NA","Tutorial: Gaze cue","0","3116","2","yes","1024"
"0","0","1326.66666667","1326.66666667","white","xpyriment","legacy","legacy","0","incongruent","uniform","0","0","z","0","0","0","0","0","0","0","NA","2","2","NA","2","2","2","2","0","0","2","2","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","2","2","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","864","NA","864","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","-300","1940","5822","5822","NA","NA","1939","NA","NA","18077","19581","NA","20949","20083","22004","18829","5817","NA","20082","18071","NA","Tutorial: Gaze cue","0","3980","3","yes","1024"
"25","25","1246","1246","white","xpyriment","legacy","legacy","0","incongruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","3","3","NA","3","3","3","3","0","0","3","3","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","3","3","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","1004","NA","1004","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","-300","1940","5822","5822","NA","NA","1939","NA","NA","23000","24504","NA","20949","25004","26010","23752","5817","NA","25004","22994","NA","Tutorial: Gaze cue","1","4984","4","yes","1024"
"40","40","1258.4","1258.4","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","4","4","NA","4","4","4","4","0","0","4","4","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","4","4","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","1308","NA","1308","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","300","1940","5822","5822","NA","NA","1939","NA","NA","26952","28455","NA","20949","28955","30264","27705","5817","NA","28955","26946","NA","Tutorial: Gaze cue","2","6292","5","yes","1024"
"50","50","1175.16666667","1175.16666667","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","5","5","NA","5","5","5","5","0","0","5","5","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","5","5","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","759","NA","759","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","300","1940","5822","5822","NA","NA","1939","NA","NA","31209","32710","NA","20949","33212","33973","31960","5817","NA","33211","31204","NA","Tutorial: Gaze cue","3","7051","6","yes","1024"
"42.8571428571","42.8571428571","1128.14285714","1128.14285714","white","xpyriment","legacy","legacy","0","congruent","uniform","0","0","m","0","0","0","0","0","0","0","NA","6","6","NA","6","6","6","6","0","0","6","6","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","6","6","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","z","846","NA","846","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","-300","1940","5822","5822","NA","NA","1939","NA","NA","34968","36472","NA","37821","36973","38880","35720","5817","NA","36973","34962","NA","Tutorial: Gaze cue","3","7897","7","yes","1024"
"50","50","1075.375","1075.375","white","xpyriment","legacy","legacy","0","incongruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","7","7","NA","7","7","7","7","0","0","7","7","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","7","7","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","706","NA","706","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","300","1940","5822","5822","NA","NA","1939","NA","NA","39824","41325","NA","37821","41825","42533","40574","5817","NA","41825","39819","NA","Tutorial: Gaze cue","4","8603","8","yes","1024"
"55.5555555556","55.5555555556","1056.11111111","1056.11111111","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","z","0","0","0","0","0","0","0","NA","8","8","NA","8","8","8","8","0","0","8","8","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","8","8","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","z","902","NA","902","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","300","1940","5822","5822","NA","NA","1939","NA","NA","43473","44975","NA","37821","45476","46380","44223","5817","NA","45475","43469","NA","Tutorial: Gaze cue","5","9505","9","yes","1024"
"60","60","1101.9","1101.9","white","xpyriment","legacy","legacy","0","incongruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","9","9","NA","9","9","9","9","0","0","9","9","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","9","9","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","1514","NA","1514","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","-300","1940","5822","5822","NA","NA","1939","NA","NA","47329","48833","NA","37821","49334","50850","48081","5817","NA","49334","47322","NA","Tutorial: Gaze cue","6","11019","10","yes","1024"
"54.5454545455","54.5454545455","1141.54545455","1141.54545455","white","xpyriment","legacy","legacy","0","congruent","uniform","0","0","z","0","0","0","0","0","0","0","NA","10","10","NA","10","10","10","10","0","0","10","10","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","10","10","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","1538","NA","1538","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","-300","1940","5822","5822","NA","NA","1939","NA","NA","51821","53321","NA","55362","53822","56416","52571","5817","NA","53821","51817","NA","Tutorial: Gaze cue","6","12557","11","yes","1024"
"58.3333333333","58.3333333333","1120.41666667","1120.41666667","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","z","0","0","0","0","0","0","0","NA","11","11","NA","11","11","11","11","0","0","11","11","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","11","11","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","z","888","NA","888","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","-300","1940","5822","5822","NA","NA","1939","NA","NA","57365","58869","NA","55362","59371","60261","58117","5817","NA","59371","57359","NA","Tutorial: Gaze cue","7","13445","12","yes","1024"
"61.5384615385","61.5384615385","1171.76923077","1171.76923077","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","12","12","NA","12","12","12","12","0","0","12","12","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","12","12","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","1788","NA","1788","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","-300","1940","5822","5822","NA","NA","1939","NA","NA","61223","62723","NA","55362","63223","65012","61973","5817","NA","63222","61219","NA","Tutorial: Gaze cue","8","15233","13","yes","1024"
"64.2857142857","64.2857142857","1176.64285714","1176.64285714","white","xpyriment","legacy","legacy","0","incongruent","uniform","1","1","z","0","0","0","0","0","0","0","NA","13","13","NA","13","13","13","13","0","0","13","13","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","13","13","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","z","1240","NA","1240","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","300","1940","5822","5822","NA","NA","1939","NA","NA","65961","67464","NA","55362","67966","69208","66712","5817","NA","67966","65955","NA","Tutorial: Gaze cue","9","16473","14","yes","1024"
"66.6666666667","66.6666666667","1164.8","1164.8","white","xpyriment","legacy","legacy","0","incongruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","14","14","NA","14","14","14","14","0","0","14","14","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","14","14","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","999","NA","999","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","-300","1940","5822","5822","NA","NA","1939","NA","NA","70219","71720","NA","55362","72221","73222","70971","5817","NA","72221","70213","NA","Tutorial: Gaze cue","10","17472","15","yes","1024"
"68.75","68.75","1165.375","1165.375","white","xpyriment","legacy","legacy","0","incongruent","uniform","1","1","z","0","0","0","0","0","0","0","NA","15","15","NA","15","15","15","15","0","0","15","15","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","15","15","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","z","1174","NA","1174","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","-300","1940","5822","5822","NA","NA","1939","NA","NA","74188","75690","NA","55362","76191","77367","74939","5817","NA","76191","74184","NA","Tutorial: Gaze cue","11","18646","16","yes","1024"
"70.5882352941","70.5882352941","1159.47058824","1159.47058824","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","z","0","0","0","0","0","0","0","NA","16","16","NA","16","16","16","16","0","0","16","16","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","16","16","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","z","1065","NA","1065","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","300","1940","5822","5822","NA","NA","1939","NA","NA","78312","79816","NA","55362","80317","81384","79064","5817","NA","80317","78306","NA","Tutorial: Gaze cue","12","19711","17","yes","1024"
"72.2222222222","72.2222222222","1134.66666667","1134.66666667","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","z","0","0","0","0","0","0","0","NA","17","17","NA","17","17","17","17","0","0","17","17","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","17","17","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","z","713","NA","713","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","300","1940","5822","5822","NA","NA","1939","NA","NA","82327","83828","NA","55362","84328","85042","83078","5817","NA","84328","82322","NA","Tutorial: Gaze cue","13","20424","18","yes","1024"
"73.6842105263","73.6842105263","1116.63157895","1116.63157895","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","18","18","NA","18","18","18","18","0","0","18","18","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","right","768","legacy","18","18","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","792","NA","792","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","300","1940","5822","5822","NA","NA","1939","NA","NA","85987","87491","NA","55362","87992","88786","86739","5817","NA","87992","85982","NA","Tutorial: Gaze cue","14","21216","19","yes","1024"
"75","75","1131.6","1131.6","white","xpyriment","legacy","legacy","0","incongruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","19","19","NA","19","19","19","19","0","0","19","19","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","19","19","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","1416","NA","1416","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","300","1940","5822","5822","NA","NA","1939","NA","NA","89743","91245","NA","55362","91746","93164","90495","5817","NA","91745","89737","NA","Tutorial: Gaze cue","15","22632","20","yes","1024"
"71.4285714286","71.4285714286","1146.33333333","1146.33333333","white","xpyriment","legacy","legacy","0","incongruent","uniform","0","0","z","0","0","0","0","0","0","0","NA","20","20","NA","20","20","20","20","0","0","20","20","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","20","20","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","1441","NA","1441","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","300","1940","5822","5822","NA","NA","1939","NA","NA","94109","95610","NA","97554","96111","98615","94859","5817","NA","96111","94104","NA","Tutorial: Gaze cue","15","24073","21","yes","1024"
"68.1818181818","68.1818181818","1128.31818182","1128.31818182","white","xpyriment","legacy","legacy","0","incongruent","uniform","0","0","m","0","0","0","0","0","0","0","NA","21","21","NA","21","21","21","21","0","0","21","21","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","21","21","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","z","750","NA","750","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","300","1940","5822","5822","NA","NA","1939","NA","NA","99557","101060","NA","102311","101560","103372","100309","5817","NA","101559","99551","NA","Tutorial: Gaze cue","15","24823","22","yes","1024"
"65.2173913043","65.2173913043","1117.91304348","1117.91304348","white","xpyriment","legacy","legacy","0","incongruent","uniform","0","0","z","0","0","0","0","0","0","0","NA","22","22","NA","22","22","22","22","0","0","22","22","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","-300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","22","22","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","889","NA","889","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","F","300","1940","5822","5822","NA","NA","1939","NA","NA","104314","105815","NA","107207","106316","108258","105064","5817","NA","106316","104309","NA","Tutorial: Gaze cue","15","25712","23","yes","1024"
"66.6666666667","66.6666666667","1103.875","1103.875","white","xpyriment","legacy","legacy","0","congruent","uniform","1","1","m","0","0","0","0","0","0","0","NA","23","23","NA","23","23","23","23","0","0","23","23","NA","Wed Oct 17 18:58:01 2018","The main experiment item","yes","300","","OpenSes_gaze_cue_demo.osexp","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial","no","mono","no","18","no","black","no","Ok","yes","left","768","legacy","23","23","0","/Users/lingostarr/Dropbox/Teaching/Fall2018/ExperimentalMethods/OpenSesameTutorial/subject-3.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","m","NA","m","781","NA","781","NA","NA","2","legacy","1024","2","48000","-16","experiment","3","odd","H","-300","1940","5822","5822","NA","NA","1939","NA","NA","109201","110704","NA","107207","111204","111987","109952","5817","NA","111204","109195","NA","Tutorial: Gaze cue","16","26493","24","yes","1024"
